patric_id,530F,530M,77F,77M,78F,78M,MG1655F,MG1655F,feature.gene_id,feature.product
fig|511145.12.peg.329,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.325,4.26277,8.62895,1.30559,1.53373,13.3674,8.61,11.6814,0,947681,Putative ankyrin repeat protein YahD
fig|511145.12.peg.338,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.336,49.4797,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.345,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.361,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.362,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.365,0,0,0,0,0,0,74.0329,0,0,hypothetical protein
fig|511145.12.peg.358,5.84361,8.57287,2.84959,3.29129,2.71251,2.27663,2.64712,0,944768,2-keto-4-pentenoate hydratase (EC 4.2.1.80)
fig|511145.12.peg.368,14.4876,4.57745,16.3719,4.452,17.7294,0,4.54592,0,944986,FrmR: Negative transcriptional regulator of formaldehyde detoxification operon
fig|511145.12.peg.374,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.381,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.376,0.540702,0.578214,0.760832,1.31501,3.936,20.6536,1.57656,0,945030,"Taurine ABC transporter, substrate-binding protein TauA"
fig|511145.12.peg.408,12.2111,12.117,0,0,28.8748,23.0956,22.3866,0,0,hypothetical protein (probably bogus)
fig|511145.12.peg.415,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.412,0,241.816,0,33.778,0,0,145.777,0,0,hypothetical protein
fig|511145.12.peg.439,181.292,0,0,0,285.946,195.953,146.361,0,0,hypothetical protein
fig|511145.12.peg.453,28.6409,14.153,21.862,58.5466,0,0,26.2857,0,0,hypothetical protein
fig|511145.12.peg.468,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.469,26.6275,0,0,0,0,0,3.16659,0,945087,"Nitrogen regulatory protein P-II, GlnK"
fig|511145.12.peg.484,0,0,0,0,0,0,24.572,0,0,Possibly bogus hypothetical protein in a repeated sequence element
fig|511145.12.peg.488,0,0,0,0,0,166.817,65.6753,0,0,hypothetical protein
fig|511145.12.peg.504,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.506,15.3994,30.6281,1.20789,0.689839,51.2226,6.88933,2.40831,0,946187,Glutaminase (EC 3.5.1.2)
fig|511145.12.peg.522,0,0,0,0,0,0,104.219,0,0,hypothetical protein
fig|511145.12.peg.529,0,2.1039,4.08507,0,1.91612,0.796493,1.83384,0,946186,Hydroxypyruvate isomerase (EC 5.3.1.22)
fig|511145.12.peg.516,17.1315,35.3764,5.77265,4.40671,13.9682,11.6796,5.10342,0,945122,"Uncharacterized metabolite ABC transporter in Enterobacteriaceae, ATP-binding protein EC-YbbA"
fig|511145.12.peg.530,0,2.35106,1.60974,1.75067,2.12155,0.913456,1.02596,0,945146,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)
fig|511145.12.peg.531,1.3959,2.19715,0,0,0.610947,1.57897,1.93978,0,945138,Allantoin permease
fig|511145.12.peg.539,0,6.68553,0,5.26751,0,0,0,0,0,Uncharacterized protein YlbE
fig|511145.12.peg.555,0,0,0,6.79734,0,2.25953,0,0,944977,Uncharacterized fimbrial-like protein SfmF
fig|511145.12.peg.559,0,0,1416.42,983.926,178.226,30.0615,0,0,947902,Phage exonuclease (EC 3.1.11.3)
fig|511145.12.peg.560,0,0,458.196,310.448,97.3804,60.553,33.371,0,945299,Phage DNA replication protein P
fig|511145.12.peg.564,17.066,3.12506,8.69484,10.0149,11.9631,2.45756,2.76993,0,948442,"Small multidrug resistance (SMR) efflux transporter => EmrE, broad substrate specificity"
fig|511145.12.peg.565,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.567,0,50.3842,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.569,0,0,0,1.40963,0,1.48684,3.24891,0,945162,Uncharacterized protein YbcN
fig|511145.12.peg.571,0,0,0,0,0,0,0,0,945174,Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)
fig|511145.12.peg.572,0,0,0,0,0,0,0,0,1450240,Uncharacterized protein YlcG
fig|511145.12.peg.586,0,0,18.7392,10.05,0,23.394,0,0,0,hypothetical protein
fig|511145.12.peg.589,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.604,0,0,8.36006,9.4243,6.29193,10.2855,5.35317,0,947183,Uncharacterized inner membrane protein YbdJ
fig|511145.12.peg.606,0,24.0041,0,0,0,0,0,0,2847715,hypothetical protein
fig|511145.12.peg.610,0,0,527.65,506.533,268.602,103.01,58.3634,0,0,hypothetical protein
fig|511145.12.peg.614,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.643,0.995489,1.07249,0,0.85377,2.90172,0,2.90144,0,946395,Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)
fig|511145.12.peg.644,0,0,0,0,2.09225,0,0,0,949084,Citrate lyase holo-[acyl-carrier-protein] synthase (EC 2.7.7.61)
fig|511145.12.peg.647,0,0,0,3.47891,0,0,0,0,945415,"Citrate lyase gamma chain, acyl carrier protein"
fig|511145.12.peg.648,4.88687,2.8529,4.23547,4.94735,2.83144,2.38227,4.05998,0,945231,[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)
fig|511145.12.peg.655,52.6708,71.6362,0,18.4635,39.8484,12.5569,6.69529,0,0,hypothetical protein
fig|511145.12.peg.678,0,0,0,0.953779,1.14421,0,1.07542,0,945243,Uncharacterized protein YbeT
fig|511145.12.peg.676,0,0,0,0,0,0,0,0,945249,Uncharacterized protein YbeR
fig|511145.12.peg.704,44.9188,83.119,72.1824,0,193.645,95.8122,0,0,0,hypothetical protein
fig|511145.12.peg.709,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.706,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.718,0,0,0,0,13.3559,0,0,0,0,Possibly bogus hypothetical protein in a repeated sequence element
fig|511145.12.peg.729,0,0,0,0,0,8.85047,16.6082,0,948946,Protein KdpF
fig|511145.12.peg.726,0,1.49542,0,0,3.36065,2.7815,2.86252,0,947508,Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)
fig|511145.12.peg.763,0,0,11.7587,12.9335,8.75048,7.05515,0,0,0,hypothetical protein
fig|511145.12.peg.766,1761.31,588.564,0,150.733,177.56,445.915,0,0,1450246,Cytochrome d ubiquinol oxidase subunit X (EC 1.10.3.-)
fig|511145.12.peg.788,47.6361,0,0,20.0616,33.3831,0,0,0,945365,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump
fig|511145.12.peg.781,42.8617,0,217.844,0,0,0,36.4246,0,0,hypothetical protein
fig|511145.12.peg.795,0,0.979314,40.6484,29.462,5.88981,3.56631,0.838106,0,945375,"Hypothetical protein YbhH, similar to PrpF protein involved in 2-methylcitrate cycle"
fig|511145.12.peg.813,2.44553,1.35724,3.24785,0.950437,3.25453,2.63466,2.09085,0,949001,Uncharacterized protein YbhM
fig|511145.12.peg.824,0,0,0,95.9412,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.843,0,0,0,0,0,51.5294,43.0969,0,0,hypothetical protein
fig|511145.12.peg.869,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.907,48.9374,0,0,79.9572,69.8018,0,84.2419,0,0,hypothetical protein
fig|511145.12.peg.918,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.928,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.960,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.962,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.968,0,3.37251,0,3.8259,0,1.76614,1.04978,0,947216,Alkanesulfonate ABC transporter permease protein SsuC
fig|511145.12.peg.1014,0,0,0,0,253.052,0,0,0,948955,Cytochrome d ubiquinol oxidase subunit X (EC 1.10.3.-)
fig|511145.12.peg.1043,0,0,0,0,0,0,0,0,0,Possibly bogus hypothetical protein in a repeated sequence element
fig|511145.12.peg.1042,0.000221291,0,0,0,0,0,0.000560954,0,0,hypothetical protein
fig|511145.12.peg.1048,5.6639,0,0,0,0,2.366,0,0,945599,Putative aminoacrylate peracid reductase RutC @ RidA/YER057c/UK114 superfamily protein
fig|511145.12.peg.1053,0,0,0,18.4842,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1050,0.780911,0.794947,0,0.604946,2.72749,0.58725,1.43739,0,945643,Pyrimidine monooxygenase RutA (EC 1.14.99.46)
fig|511145.12.peg.1056,0,0,0,58.8779,0,0,0,0,0,Ferrous iron transport permease EfeU
fig|511145.12.peg.1061,19.8518,14.1298,21.3936,37.4733,65.0141,82.7636,3.2042,0,947503,Biofilm PGA synthesis auxiliary protein PgaD
fig|511145.12.peg.1068,0,0,0,3.18134,0,0,0,0,945589,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
fig|511145.12.peg.1069,3.51856,3.8081,5.51093,3.0925,1.80174,1.49861,0.865489,0,945592,Uncharacterized protein YcdU
fig|511145.12.peg.1080,0,0,53.7992,26.9807,47.9106,0,0,0,0,hypothetical protein
fig|511145.12.peg.1081,12.5611,0,0,0,0,0,0,0,0,Uncharacterized protein YmdF
fig|511145.12.peg.1082,0,5.11069,0,0,3.61062,1.01402,0,0,947391,"Minor curlin subunit CsgB, nucleation component of curlin monomers"
fig|511145.12.peg.1099,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1100,0,0,0,0,0,0,0,0,945629,Uncharacterized protein YceO
fig|511145.12.peg.1115,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1128,0,0,0,0,81.044,0,48.4467,0,0,hypothetical protein
fig|511145.12.peg.1161,0,0,0,95.4997,0,0,101.946,0,0,hypothetical protein
fig|511145.12.peg.1160,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1188,0,0,13.7759,0,0,0,8.26309,0,945720,hypothetical protein
fig|511145.12.peg.1191,0,0,0,0,0,10.1927,0,0,945700,"Phage head, head-tail joining protein W"
fig|511145.12.peg.1192,0,0,5.66141,4.69229,2.05941,0,1.82305,0,0,Phage portal protein
fig|511145.12.peg.1194,0,0,0,1.24953,0,0,0,0,945707,Uncharacterized protein YmfQ in lambdoid prophage e14 region
fig|511145.12.peg.1199,1.26997,0,0,0,0,2.1375,2.45569,0,945721,Phage DNA invertase
fig|511145.12.peg.1202,2.35297,0,6.51539,14.7977,2.54032,6.30823,4.46876,0,945733,Phage protein YbcV
fig|511145.12.peg.1198,1.41442,0,4.00601,2.30701,0,1.12566,1.31352,0,945722,"Phage tail fiber, side tail fiber protein Stf"
fig|511145.12.peg.1206,5.21823,11.1215,8.17245,0,0,0,0,0,945340,Probable two-component-system connector protein AriR
fig|511145.12.peg.1207,15.2008,0,0,0,0,0,0,0,945090,Uncharacterized protein YmgC
fig|511145.12.peg.1209,0,0,12.4932,0,19.8372,0,0,0,1450253,Inner membrane protein YmgF
fig|511145.12.peg.1210,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1217,0,0,0,0,0,0,0,0,1450255,Pertactin precursor
fig|511145.12.peg.1215,0,0,0,34.2365,61.8592,0,0,0,0,hypothetical protein
fig|511145.12.peg.1223,0,0,0,0,59.3373,0,0,0,0,hypothetical protein
fig|511145.12.peg.1250,0,0,0,0,0,9.41676,0,0,0,hypothetical protein
fig|511145.12.peg.1265,0,0,0,0,0,0,0,0,2847735,"Small inner membrane protein, YmgF family"
fig|511145.12.peg.1288,0,0,0,0,0,0,0,0,0,"Transposase, Avin_45320 family"
fig|511145.12.peg.1309,0,18.155,0,0,0,0,0,0,947489,Uncharacterized protein YmdF
fig|511145.12.peg.1339,89.7904,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1343,1685.89,587.911,971.65,576.537,1081.75,1080.16,1887.88,0,0,hypothetical protein
fig|511145.12.peg.1353,0,0,0,26.921,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1363,41.7106,43.2235,0,23.9677,8.01379,33.1722,0,0,945635,Phage shock protein D
fig|511145.12.peg.1376,0,1.7757,0,0,0,0.685171,0.772739,0,945889,Outer membrane protein G precursor
fig|511145.12.peg.1374,0.783463,1.74242,0,0,1.48013,0.626346,0.747894,0,0,"Maltodextrin ABC transporter, ATP-binding protein MsmX"
fig|511145.12.peg.1375,0,0,0,0,0,0,0,0,4306141,"Maltodextrin ABC transporter, ATP-binding protein MsmX"
fig|511145.12.peg.1397,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1402,248.605,245.325,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1406,7.09143,0,0,0,0,0,0,0,947399,ydaQ protein
fig|511145.12.peg.1407,52.2329,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1411,0,0,0,0,0,0,0,0,948959,Uncharacterized phage-associated protein YdaE
fig|511145.12.peg.1412,8.47027,0,0,0,0,0,0,0,945921,Phage host-killing protein Kil
fig|511145.12.peg.1419,0.809343,2.75404,0,0,0,0,0,0,945926,Bacteriophage-encoded homolog of DNA replication protein DnaC
fig|511145.12.peg.1425,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1428,0,0,0,0,0,0,0,0,4056036,Phage-encoded host-cell envelope protein Lom
fig|511145.12.peg.1429,14.9854,0,2387.32,1294.02,276.154,75.4705,0,0,0,hypothetical protein
fig|511145.12.peg.1430,7.63669,0,581.295,377.878,43.4793,27.8606,0,0,0,hypothetical protein
fig|511145.12.peg.1432,51.7127,102.109,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1450,0.982832,1.43379,1.30576,1.01106,1.74162,1.22983,0.30795,0,945954,"3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (EC 1.2.1.91) / 2-oxepin-2(3H)-ylideneacetyl-CoA hydrolase (EC 3.3.2.12)"
fig|511145.12.peg.1455,4.83224,7.36064,0.889765,1.51856,2.46332,2.61062,2.48279,0,945962,"1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.14.13.149)"
fig|511145.12.peg.1457,5.33203,5.96052,0,1.38475,0.815255,0,1.69334,0,946263,"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)"
fig|511145.12.peg.1459,12.9829,0,0,0,0,0,0,0,945265,Acyl-coenzyme A thioesterase PaaD (Pse.pu.) (E. coli PaaI)
fig|511145.12.peg.1472,0,0.789438,0.916265,0.520947,0.642676,0.558459,0,0,945972,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
fig|511145.12.peg.1493,0,0,0,0,0,0,123.803,0,0,hypothetical protein
fig|511145.12.peg.1496,17.4942,0,0,0,0,18.6682,0,0,0,hypothetical protein
fig|511145.12.peg.1502,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1521,0,0,0,0,0,0,0,0,946024,Uncharacterized protein YncH
fig|511145.12.peg.1522,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1527,483.726,422.381,0,31.4574,30.0432,41.6439,28.5103,0,945731,Tautomerase PptA
fig|511145.12.peg.1536,0,0,4.16534,0,0,0,0,0,945955,Putative glycoportein
fig|511145.12.peg.1537,0,0.868105,1.06827,0,0,0,0,0,947312,Putative glycoportein
fig|511145.12.peg.1538,0,0,0,0,4.19548,0,3.81955,0,0,Outer membrane porin OmpD
fig|511145.12.peg.1543,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1531,9.58349,18.8286,4.80787,5.48507,4.56744,3.8531,1.53539,0,946029,Respiratory nitrate reductase gamma chain (EC 1.7.99.4)
fig|511145.12.peg.1567,0,0,0,0,0,0,0,0,946061,Two-component-system connector protein SafA
fig|511145.12.peg.1570,0,4.4238,0,0,0,0,0,0,946049,Type 1 fimbrae adaptor subunit FimG
fig|511145.12.peg.1571,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1569,1.42306,1.59802,0,0,1.31447,0,2.0755,0,946050,mannose-specific adhesin FimH
fig|511145.12.peg.1572,1.38732,2.87181,0,0,0,1.21385,0,0,946047,Uncharacterized fimbrial-like protein YdeS
fig|511145.12.peg.1573,0.546281,1.87056,1.33669,0.393553,0.536829,1.82564,0.957558,0,946042,Putative uncharacterized membrane protein YdeT
fig|511145.12.peg.1576,0,0,0,0,0,0,110.032,0,0,hypothetical protein
fig|511145.12.peg.1581,3.72627,3.80331,3.49035,1.73403,8.339,8.89803,1.19131,0,945680,"Autoinducer 2 (AI-2) ABC transporter, dimeric ATP-binding protein"
fig|511145.12.peg.1590,0,0,0,0,0,0,0,0,0,Uncharacterized GGDEF domain protein YneF
fig|511145.12.peg.1619,0,0,105.137,49.3952,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1620,12.7677,0,0,10.459,45.4344,12.2309,11.2633,0,1450267,hypothetical protein
fig|511145.12.peg.1634,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1640,0,7.60532,0,0,0,0,6.82336,0,946120,"Protein DicC, repressor of division inhibition gene dicB"
fig|511145.12.peg.1645,0,0,0,12.9561,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1686,1.77521,3.05534,1.24098,0,1.67772,0.729521,0,0,944820,Glucuronide transport facilitator UidC
fig|511145.12.peg.1719,62.9891,59.7137,0,104.068,0,67.0644,0,0,0,hypothetical protein
fig|511145.12.peg.1742,39.6809,15.5601,0,0,1.56479,2.64599,4.64871,0,947308,Uncharacterized ferredoxin-like protein YdhX
fig|511145.12.peg.1762,0.749518,0.81616,0,1.31921,0,0.597182,0,0,946198,Inner membrane transport protein YdiN
fig|511145.12.peg.1804,0,0,0,0,0,9.87078,0,0,0,Possibly bogus hypothetical protein in a repeated sequence element
fig|511145.12.peg.1821,15.801,30.6982,24.9095,51.341,40.6489,31.7158,0,0,0,hypothetical protein
fig|511145.12.peg.1845,6.32295,4.14942,2.50268,0.477032,4.98454,4.37002,1.76165,0,946285,Uncharacterized sugar kinase YdjH
fig|511145.12.peg.1871,0,0,0,0,0,0,78.153,0,946314,Protein YoaG
fig|511145.12.peg.1873,0,0,0,0,0,0,514.304,0,0,hypothetical protein
fig|511145.12.peg.1886,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1903,51.3871,288.668,86.6786,221.119,209.931,261.535,71.3113,0,946351,PhoP/PhoQ regulator MgrB
fig|511145.12.peg.1961,0,113.597,63.7464,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1951,0,0,0,0,0,0,0,0,0,Possibly bogus hypothetical protein in a repeated sequence element
fig|511145.12.peg.1984,0,0,33.4472,88.278,55.1819,22.1818,77.9528,0,0,hypothetical protein
fig|511145.12.peg.1989,86.0278,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.1996,0,0,0,0,0,50.8474,0,0,0,hypothetical protein
fig|511145.12.peg.2036,29.0115,29.2964,22.6925,12.261,0,0,0,0,946466,Uncharacterized protein YodC
fig|511145.12.peg.2057,3.58786,0,0,0,3.84942,0,0,0,2847764,Uncharacterized protein YeeL
fig|511145.12.peg.2069,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.2067,16.8454,26.7527,8.08991,9.5459,30.9078,2.76772,0,0,946520,Cobalamin synthase (EC 2.7.8.26)
fig|511145.12.peg.2078,0,0,0,0,1.88416,3.19328,1.8754,0,946514,UPF0758 protein YeeS
fig|511145.12.peg.2080,0,0,0,0,7.57887,0,0,0,946510,YeeU protein (antitoxin to YeeV)
fig|511145.12.peg.2084,0,114.359,0,0,95.2779,0,52.8599,0,0,hypothetical protein
fig|511145.12.peg.2129,0,1.8712,2.33731,2.00992,1.5294,0,1.55435,0,946563,GDP-L-fucose synthetase (EC 1.1.1.271)
fig|511145.12.peg.2128,0,4.7751,12.2484,10.5548,0,0,2.06161,0,946559,GDP-mannose mannosyl hydrolase
fig|511145.12.peg.2131,1.92154,0,0,0,0,0,0,0,946578,Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)
fig|511145.12.peg.2139,0,0.765243,11.0049,15.2258,0,1.76616,0,0,946558,Polysaccharide export lipoprotein => Wza
fig|511145.12.peg.2138,4.49457,0,0,1.89226,0,0,0,0,946564,Low molecular weight protein-tyrosine-phosphatase (EC 3.1.3.48) => Wzb
fig|511145.12.peg.2149,6.10588,2.7899,3.43031,0.975358,3.38026,2.81553,3.51498,0,947269,Uncharacterized protein YegK
fig|511145.12.peg.2161,99.7632,0,0,26.1968,0,67.4036,0,0,949050,Phage tail formation protein GpD
fig|511145.12.peg.2162,35.6383,30.1108,0,0,41.5601,19.5128,0,0,946613,Uncharacterized protein YegR
fig|511145.12.peg.2164,88.6272,84.3858,4.08665,0,2.7423,4.71088,0,0,2847672,Galactitol utilization operon repressor
fig|511145.12.peg.2189,17.8402,17.1394,0,0,22.7667,0,0,0,946615,Uncharacterized protein YehE
fig|511145.12.peg.2197,3.34973,1.20637,0,3.23467,1.10954,0.930608,1.69479,0,946656,Uncharacterized protein YehL
fig|511145.12.peg.2201,0,17.8844,0,0,0,0,0,0,946654,Uncharacterized protein YehQ
fig|511145.12.peg.2207,0,0,0,0,0,0,0,0,1450279,UPF0387 membrane protein YohO
fig|511145.12.peg.2213,68.1701,22.5802,34.0482,0,0,0,19.8382,0,0,hypothetical protein
fig|511145.12.peg.2216,0,0,0,0,0,60.9773,49.5384,0,0,hypothetical protein
fig|511145.12.peg.2221,0,0,0,0,0,0,0,0,0,Putative multidrug resistance outer membrane protein MdtQ
fig|511145.12.peg.2230,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.2231,0,3.17414,1.44402,1.67798,0.919645,0,0,0,949039,"Galactose/methyl galactoside ABC transporter, permease protein MglC (EC 3.6.3.17)"
fig|511145.12.peg.2235,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.2240,0,0,0,0,0,0,0,0,0,Colicin I receptor
fig|511145.12.peg.2255,0,0,0,0,0,0,31.1211,0,0,hypothetical protein
fig|511145.12.peg.2251,4.26703,0.950263,1.17253,0.683002,0.790517,0,0,0,946664,Pseudouridine kinase (EC 2.7.1.83)
fig|511145.12.peg.2275,0,0,0,48.5016,0,64.1597,0,0,0,hypothetical protein
fig|511145.12.peg.2281,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.2311,0,0,0,1.09222,0,0,0,0,946719,"Acyl-CoA:acetate CoA-transferase, beta subunit (EC 2.8.3.8)"
fig|511145.12.peg.2312,0,0,2.12089,0.612236,1.96951,2.24623,2.82209,0,946721,Short-chain fatty acids transporter
fig|511145.12.peg.2316,4.56833,1.64214,9.02078,6.23182,4.87019,1.26629,4.32572,0,1450231,putative membrane protein
fig|511145.12.peg.2342,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.2341,15.8803,13.3606,7.99415,8.89286,13.014,12.6117,3.33926,0,946739,Uncharacterized outer membrane protein YfaZ
fig|511145.12.peg.2364,2.40078,0,0,0.622267,0.710286,2.43519,1.45377,0,945832,Uncharacterized protein YfbL
fig|511145.12.peg.2430,0,0,0,1.78323,4.44868,1.87369,0,0,946779,Minor fimbrial subunit StfF
fig|511145.12.peg.2435,9.22072,1.61478,0,1.20621,1.55707,0,1.44189,0,949109,Major fimbrial subunit StfA
fig|511145.12.peg.2443,0,0,0,0,0,65.5459,0,0,0,hypothetical protein
